CSA2010,tpop10,male10,female10,paa10,pwhite10,pasi10,p2more10,ppac10,phisp10,racdiv10,age5_10,age18_10,age24_10,age64_10,age65_10,hhs10,femhhs10,fam10,hhsize10,mhhi12,hh25inc12,hh40inc12,hh60inc12,hh75inc12,hhm7512,hhpov12,hhchpov12
Harford/Echodale,16839,7964,8875,53%,40.3%,1%,1.8%,0.4%,3.4%,57,7.3%,15.6%,9.9%,57%,10.2%,6914,44.4%,31.9%,2.4,$53957.94,22.3%,16.5%,17.4%,13.5%,30.3%,9.5%,18.9%
Highlandtown,7250,3734,3516,8.9%,66.4%,2.5%,1.9%,1.1%,19.3%,62.9,6.4%,7.8%,10.6%,66%,9.2%,3196,32.4%,17.4%,2.3,$63801.47,21.5%,15.7%,11.6%,9.9%,41.2%,17.2%,55.9%
Howard Park/West Arlington,10873,4949,5924,94.3%,2.2%,0.3%,1.3%,0.3%,1.6%,12.7,5.5%,15.2%,9.3%,50.9%,19.1%,4204,54.4%,30.3%,2.5,$37094.58,31%,24.3%,13.1%,9.6%,22%,12.9%,31.5%
Inner Harbor/Federal Hill,12855,6528,6327,11.5%,79.5%,3.9%,1.6%,0.4%,3.2%,36.2,4.7%,4.8%,13.3%,66.6%,10.6%,6724,27%,11.4%,2,$83496.50,19.5%,4.9%,13%,7.1%,55.5%,10.2%,19.1%
Lauraville,12273,5757,6516,58%,35.8%,1%,2.4%,0.6%,2.3%,54.6,6%,16.6%,8.9%,57.9%,10.6%,4686,40.3%,31.9%,2.6,$57895.04,15%,16.1%,19.3%,12.8%,36.7%,5.8%,4.4%
Loch Raven,15311,6631,8680,87.6%,7.6%,1.3%,1.5%,0.2%,1.8%,24.2,6.1%,16%,11.4%,54.7%,11.8%,6589,54.9%,30.7%,2.3,$46721.88,25.8%,13.3%,27.5%,13.5%,19.9%,17.6%,33.2%
Madison/East End,7781,3587,4194,90.3%,3.1%,0.8%,1.2%,0.6%,4%,23.2,10.4%,22.3%,13.2%,47.5%,6.6%,2302,70%,51%,3.3,$29695.49,45.1%,17.4%,17.8%,8.6%,11.1%,32.2%,56.4%
Medfield/Hampden/Woodberry/Remington,17388,8322,9066,11.6%,77.2%,5%,2.2%,0.5%,3.6%,40.4,4.8%,8.4%,9.1%,61.5%,16.2%,8289,31.5%,17.6%,2.1,$55999.40,20.9%,12.2%,23.1%,10.2%,33.5%,6.2%,12.4%
Midtown,15020,7305,7715,32.1%,52.7%,7.8%,2.9%,0.5%,3.9%,61.8,2.4%,3.6%,22.6%,58.7%,12.8%,9078,41.4%,6%,1.7,$36750.99,39.1%,14%,19.3%,6.7%,21%,9.7%,18.1%
Midway/Coldstream,9624,4448,5176,95.6%,1.4%,0.5%,1.1%,0.3%,1.1%,9.6,7.1%,18.8%,11.3%,50.5%,12.3%,3212,67%,38.2%,3,$30821.91,37.4%,25.1%,17.2%,10.4%,9.9%,23.7%,32.4%
Morrell Park/Violetville,8964,4238,4726,17.6%,72.5%,2.4%,2.4%,0.8%,4.3%,46.4,5.9%,13.5%,8.6%,54.2%,17.8%,3785,34.2%,25.6%,2.3,$43529.60,29.9%,15.9%,17.2%,15.7%,21.4%,10.7%,14.7%
Mount Washington/Coldspring,5168,2312,2856,22.6%,68%,3.9%,2.4%,0.5%,2.5%,49.2,6.3%,13.8%,4.2%,59.5%,16.1%,2466,20.3%,23%,1.9,$85405.68,24.1%,7.9%,11.4%,10.1%,46.5%,5.8%,8.2%
North Baltimore/Guilford/Homeland,17464,7953,9511,11.8%,75%,7.5%,1.9%,0.3%,3.3%,42.3,4.6%,10.3%,28.2%,44%,12.8%,6479,15.1%,22.6%,2.3,$78921.41,17.7%,8.6%,14.3%,5.7%,53.7%,5.8%,7%
Northwood,16643,7506,9137,88.6%,7.2%,0.6%,1.5%,0.4%,1.7%,22.5,5.3%,12.8%,24.7%,44.3%,13%,5532,55.4%,30.3%,2.5,$56023.79,19.3%,16%,17.4%,14.1%,33.2%,6.9%,9.7%
Oldtown/Middle East,10021,4543,5478,89.5%,5.4%,2%,1%,0.3%,1.7%,20.8,7.9%,17.2%,12.3%,50.8%,11.9%,3792,81.4%,33.2%,2.3,$13478.16,63.9%,13.9%,8.5%,2.3%,11.5%,49.2%,70.9%
Orangeville/East Highlandtown,9131,4744,4387,12.2%,51.6%,3%,1.9%,0.9%,30.3%,77.8,7.9%,13.2%,10.4%,56.4%,12.2%,3357,34.5%,30.2%,2.8,$41122.22,30.9%,19.3%,21.8%,8.2%,19.8%,14.2%,20.8%
Patterson Park North & East,14549,7289,7260,38%,36%,1.9%,1.8%,1.2%,21.1%,77,8.1%,14.1%,11.6%,59.9%,6.3%,5289,48.5%,31%,2.8,$52465.51,27.5%,11.6%,17.4%,9.2%,34.3%,26.5%,46.5%
Penn North/Reservoir Hill,9668,4501,5167,90.3%,5.7%,0.3%,1.7%,0.5%,1.5%,19.3,7.8%,16.5%,10.1%,56.4%,9.2%,4248,66.8%,27.9%,2.3,$28724.28,42.9%,19.3%,13.9%,8.3%,15.7%,29%,39.3%
Pimlico/Arlington/Hilltop,11816,5458,6358,94.4%,2.8%,0.2%,1.2%,0.3%,1.1%,12,6.3%,16.8%,9.7%,49.9%,17.3%,4464,63.3%,31.7%,2.7,$30030.99,45.3%,14.5%,16%,11.1%,13.1%,22.6%,45%
Poppleton/The Terraces/Hollins Market,5086,2403,2683,82.9%,12.7%,1%,1.4%,0.4%,1.7%,30.9,7.4%,18.1%,10.5%,54.6%,9.3%,2181,74.8%,30.5%,2.2,$19277.12,62.9%,13.5%,6.1%,5%,12.5%,45.9%,71.9%
Sandtown-Winchester/Harlem Park,14896,6810,8086,96.6%,1.1%,0.3%,1%,0.2%,0.7%,7.3,7.5%,18.3%,11.5%,50.9%,11.8%,5541,73.4%,34.8%,2.6,$24006.35,51.2%,19%,14.3%,7.5%,8%,35.4%,54.8%
South Baltimore,6406,3263,3143,2.7%,90.3%,2.7%,1.5%,0.3%,2.6%,19.4,5.6%,5%,10.4%,70.9%,8.2%,3107,18.1%,14.6%,2.1,$85172.62,13.4%,9.3%,15.9%,10.7%,50.7%,5.6%,9%
Southeastern,6260,2972,3288,25.4%,49.2%,1.8%,2.2%,1.5%,19.9%,73.4,8%,15.1%,10.4%,53.7%,12.8%,2452,50.8%,31.8%,2.6,$30968.12,47.7%,20.7%,14.7%,4.8%,12%,24.1%,41.6%
Southern Park Heights,13284,6037,7247,95.7%,1.6%,0.2%,1.1%,0.4%,0.9%,9.3,8.2%,17.7%,11.1%,50.6%,12.5%,4739,68.7%,38.3%,2.7,$26949.47,46.5%,15%,20.2%,6.8%,11.6%,34.4%,48.2%
Southwest Baltimore,17885,8685,9200,75.8%,16.8%,1.1%,2.1%,0.6%,3.6%,43.1,8%,19.1%,11%,52%,10%,6288,63.5%,36.4%,2.8,$28085.24,44.9%,19.9%,15%,7%,13.2%,29.1%,42%
The Waverlies,7753,3413,4340,78.7%,15%,1.5%,1.8%,0.5%,2.4%,37.5,6.7%,15.4%,9.3%,56%,12.6%,3279,59.7%,28.8%,2.4,$31385.59,40.7%,19.9%,14%,7.7%,17.7%,21.6%,48.4%
Upton/Druid Heights,10342,4621,5721,92.4%,3.9%,0.6%,1.4%,0.4%,1.4%,15.4,9.2%,19.9%,12.1%,48.6%,10.1%,4439,77.4%,32.1%,2.4,$14784.62,66.3%,9.4%,9.9%,6.7%,7.6%,49.5%,55.1%
Washington Village/Pigtown,5503,2743,2760,49%,39.1%,5.3%,2.5%,0.7%,3.4%,61.2,7.2%,13.8%,11.3%,59.5%,8.1%,2273,56.1%,28.3%,2.4,$44933.22,30.5%,14.4%,20.6%,11.1%,23.4%,25.3%,35.1%
Westport/Mount Winans/Lakeland,7119,3447,3672,65.5%,17.2%,2%,1.8%,0.4%,13.1%,62,8.7%,20.7%,10.9%,51.3%,8.4%,2499,55.4%,42.3%,2.8,$42726.73,33.8%,14.6%,20.1%,7%,24.4%,23.6%,33.1%
Baltimore City,620961,292249,328712,63.8%,28.3%,2.3%,1.7%,0.5%,4.2%,54.5,6.6%,14.9%,12.6%,54.2%,11.7%,249903,54.9%,28.4%,2.4,$40803.00,34.9%,16.1%,16.2%,9.1%,23.7%,18.8%,33.4%
